date,Custom Index
2015-02-17,70.4703
2015-02-18,70.71542
2015-02-19,70.49046
2015-02-20,71.08824
2015-02-23,71.16933
2015-02-24,71.13118
2015-02-25,71.26668
2015-02-26,71.15973
2015-02-27,71.08528
2015-03-02,71.5763
2015-03-03,71.24169
2015-03-04,70.66945
2015-03-05,70.881035
2015-03-06,69.819016
2015-03-09,70.16089
2015-03-10,68.92684
2015-03-11,68.77962
2015-03-12,69.71334
2015-03-13,69.356346
2015-03-16,70.344315
2015-03-17,70.08545
2015-03-18,70.83954
2015-03-19,70.69814
2015-03-20,71.344635
2015-03-23,71.23612
2015-03-24,70.904594
2015-03-25,69.80132
2015-03-26,69.58859
2015-03-27,69.937126
2015-03-30,70.73171
2015-03-31,70.27259
2015-04-01,69.89977
2015-04-02,70.18291
2015-04-06,70.66665
2015-04-07,70.29991
2015-04-08,70.52642
2015-04-09,70.94031
2015-04-10,71.13994
2015-04-13,70.77116
2015-04-14,70.755226
2015-04-15,70.93269
2015-04-16,70.771935
2015-04-17,69.94598
2015-04-20,70.474335
2015-04-21,70.49442
2015-04-22,70.79772
2015-04-23,70.89315
2015-04-24,70.787544
2015-04-27,70.3376
2015-04-28,70.2304
2015-04-29,69.77284
2015-04-30,69.023544
2015-05-01,69.78434
2015-05-04,69.96778
2015-05-05,69.026924
2015-05-06,68.61787
2015-05-07,69.055695
2015-05-08,69.94294
2015-05-11,69.56311
2015-05-12,69.38045
2015-05-13,69.21028
2015-05-14,69.83391
2015-05-15,70.095314
2015-05-18,70.41852
2015-05-19,70.26896
2015-05-20,70.08019
2015-05-21,70.236404
2015-05-22,70.046364
2015-05-26,69.14577
2015-05-27,69.7773
2015-05-28,69.64441
2015-05-29,69.15604
2015-06-01,69.323746
2015-06-02,69.218475
2015-06-03,69.40312
2015-06-04,68.80483
2015-06-05,68.676506
2015-06-08,68.13433
2015-06-09,68.10851
2015-06-10,68.85175
2015-06-11,69.116974
2015-06-12,68.660164
2015-06-15,68.290245
2015-06-16,68.68752
2015-06-17,68.948044
2015-06-18,69.771034
2015-06-19,69.47686
2015-06-22,69.75617
2015-06-23,69.616234
2015-06-24,68.93988
2015-06-25,68.692535
2015-06-26,68.783
2015-06-29,67.234795
2015-06-30,67.41338
2015-07-01,68.05216
2015-07-02,68.142975
2015-07-06,67.994835
2015-07-07,68.429054
2015-07-08,67.15162
2015-07-09,67.43007
2015-07-10,68.46391
2015-07-13,69.16938
2015-07-14,69.41633
2015-07-15,69.22799
2015-07-16,69.72634
2015-07-17,69.51849
2015-07-20,69.458374
2015-07-21,69.14356
2015-07-22,69.36407
2015-07-23,68.90083
2015-07-24,68.50183
2015-07-27,67.985916
2015-07-28,68.824524
2015-07-29,69.67333
2015-07-30,69.95199
2015-07-31,69.997154
2015-08-03,69.6929
2015-08-04,69.67641
2015-08-05,69.79646
2015-08-06,69.17229
2015-08-07,69.097336
2015-08-10,69.96953
2015-08-11,69.47721
2015-08-12,69.53
2015-08-13,69.42685
2015-08-14,69.56328
2015-08-17,70.01043
2015-08-18,69.644806
2015-08-19,69.22805
2015-08-20,67.8112
2015-08-21,65.85116
2015-08-24,63.188335
2015-08-25,62.308506
2015-08-26,64.40234
2015-08-27,65.89073
2015-08-28,65.887726
2015-08-31,65.28951
2015-09-01,63.64392
2015-09-02,64.81435
2015-09-03,65.0977
2015-09-04,64.14912
2015-09-08,65.85181
2015-09-09,65.033195
2015-09-10,65.17103
2015-09-11,65.45742
2015-09-14,65.19576
2015-09-15,65.85106
2015-09-16,66.32901
2015-09-17,66.2328
2015-09-18,65.011635
2015-09-21,65.40451
2015-09-22,64.44296
2015-09-23,64.292076
2015-09-24,63.90499
2015-09-25,63.931625
2015-09-28,62.127495
2015-09-29,62.287018
2015-09-30,63.656418
2015-10-01,64.07316
2015-10-02,65.15633
2015-10-05,66.31747
2015-10-06,65.76586
2015-10-07,66.23911
2015-10-08,66.92513
2015-10-09,67.061905
2015-10-12,67.17645
2015-10-13,66.52696
2015-10-14,65.846054
2015-10-15,66.48124
2015-10-16,66.749084
2015-10-19,66.75133
2015-10-20,66.63324
2015-10-21,66.17284
2015-10-22,67.14834
2015-10-23,67.00038
2015-10-26,67.00112
2015-10-27,67.13803
2015-10-28,67.06064
2015-10-29,67.10403
2015-10-30,67.00061
2015-11-02,67.62022
2015-11-03,67.92101
2015-11-04,67.64113
2015-11-05,67.67903
2015-11-06,67.46289
2015-11-09,66.6154
2015-11-10,66.89174
2015-11-11,66.56524
2015-11-12,65.69839
2015-11-13,64.99528
2015-11-16,66.05848
2015-11-17,66.15998
2015-11-18,67.22713
2015-11-19,67.07876
2015-11-20,67.48461
2015-11-23,67.61635
2015-11-24,67.629364
2015-11-25,67.67966
2015-11-27,67.786446
